domain,direct_dns,crtsh,whois,ssl_inspection,ipwhois,port_scan,tech_fingerprint,duckduckgo,bing,google,wikidata,theharvester,recon_ng,hunter,phonebook_cz,github_code,github_repos,hibp,hackertarget,dehashed,brave,bufferoverun,censys,projectdiscovery,rapiddns,rocketreach,subdomaincenter,subdomainfinderc99,thc,threatminer,urlscan,windvane,direct_dns__status,crtsh__status,whois__status,ssl_inspection__status,ipwhois__status,port_scan__status,tech_fingerprint__status,duckduckgo__status,bing__status,google__status,wikidata__status,theharvester__status,recon_ng__status,hunter__status,phonebook_cz__status,github_code__status,github_repos__status,hibp__status,hackertarget__status,dehashed__status,brave__status,bufferoverun__status,censys__status,projectdiscovery__status,rapiddns__status,rocketreach__status,subdomaincenter__status,subdomainfinderc99__status,thc__status,threatminer__status,urlscan__status,windvane__status
paypal.com,132,0,1,1,1,4,6,0,0,,0,0,0,0,0,0,16,0,0,0,2,0,,,92,0,,,,0,2,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
stripe.com,88,0,1,1,1,2,7,0,0,,0,0,0,0,0,0,16,0,0,0,2,0,,,29,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
visa.com,74,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,15,0,0,0,2,0,,,0,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
mastercard.com,190,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,101,0,,,,0,25,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
jpmorganchase.com,147,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,2,0,0,0,2,0,,,96,0,,,,0,18,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
goldmansachs.com,44,0,1,1,1,2,2,0,0,,0,0,0,0,0,0,8,0,0,0,2,0,,,22,0,,,,0,1,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
walmart.com,191,0,1,1,1,2,3,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,116,0,,,,0,16,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
target.com,132,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,16,0,0,0,2,0,,,85,0,,,,0,2,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
costco.com,122,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,0,0,,,,0,76,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
ikea.com,72,0,1,1,1,4,4,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,0,0,,,,0,11,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
booking.com,6,0,1,1,1,2,0,0,0,,0,0,0,0,0,0,11,0,0,0,2,0,,,0,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
airbnb.com,156,0,1,1,1,2,5,0,0,,0,0,0,0,0,0,5,0,0,0,2,0,,,94,0,,,,0,2,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
uber.com,146,0,1,1,1,2,7,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,68,0,,,,0,18,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
lyft.com,92,0,1,1,1,2,2,0,0,,0,0,0,0,0,0,7,0,0,0,2,0,,,37,0,,,,0,4,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
delta.com,74,0,1,1,1,2,0,0,0,,0,0,0,0,0,0,5,0,0,0,2,0,,,0,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
